user_id,activity_id
1,35
2,12
2,19
3,1
3,10
3,2
3,8
4,11
4,19
4,14
4,16
4,17
5,34
5,38
5,35
5,37
6,47
6,46
7,16
7,12
8,6
9,45
9,41
9,48
9,50
9,49
10,42
10,49
10,45
10,47
11,40
11,34
11,32
12,5
12,2
13,47
14,13
14,16
14,19
15,12
15,13
15,14
16,5
16,9
16,4
16,6
17,14
18,47
18,45
18,42
19,16
19,14
19,18
19,19
19,20
20,23
20,24
20,25
21,40
21,37
21,36
21,32
22,49
22,48
23,2
24,7
24,2
25,18
25,19
25,15
25,20
25,11
26,39
27,32
27,35
27,37
28,5
29,49
29,42
30,49
30,44
30,43
31,19
31,20
32,46
32,48
32,41
32,49
32,43
33,44
33,41
33,50
34,42
35,39
36,38
36,39
37,10
37,7
37,4
37,5
37,6
38,37
38,36
38,38
39,42
39,44
39,49
39,41
40,19
40,14
40,20
40,11
40,17
41,34
42,6
43,5
43,8
44,20
44,18
45,17
45,14
45,12
45,11
46,37
46,40
46,38
47,42
48,2
48,4
48,9
49,3
49,7
49,10
49,8
50,28
51,42
51,41
51,49
51,48
51,50
52,8
52,4
52,7
52,1
53,7
54,15
54,17
54,18
54,12
55,1
55,9
56,1
56,10
56,8
57,23
57,21
57,22
57,27
57,28
58,4
59,24
59,21
59,22
59,30
59,26
60,26
60,25
60,24
60,30
60,27
61,17
61,13
61,15
62,21
63,22
63,30
63,24
63,25
63,23
64,2
64,4
64,6
65,19
65,15
65,11
65,16
66,42
66,43
66,45
67,9
68,10
68,4
68,6
69,19
69,18
69,15
70,42
71,31
71,40
71,36
72,33
72,38
72,37
73,22
74,49
74,41
75,49
75,43
75,47
75,42
75,41
76,16
77,12
77,16
78,40
78,33
78,34
78,37
79,7
79,1
80,7
80,4
80,5
81,7
82,44
82,50
82,48
82,43
83,14
83,11
84,36
84,35
84,32
84,37
85,17
85,19
85,16
85,11
85,20
86,43
86,45
86,41
87,6
87,10
87,7
87,5
88,47
89,45
89,41
90,39
91,44
91,46
91,47
91,41
91,49
92,46
92,42
92,45
92,48
92,43
93,37
93,35
93,33
94,3
94,5
94,7
94,9
95,45
95,44
95,47
96,36
96,38
96,39
96,34
96,40
97,13
97,12
97,15
97,18
98,36
98,32
98,34
98,40
98,33
99,13
99,11
100,10
100,2
100,8
100,4
101,44
101,47
101,48
101,50
101,42
102,2
103,33
103,39
104,24
104,22
104,28
104,29
104,30
105,40
105,36
105,38
105,35
105,39
106,49
106,48
106,43
106,46
107,45
107,44
107,50
107,47
108,34
108,35
108,38
108,31
109,35
109,36
110,12
110,13
110,19
110,20
110,14
111,32
111,37
112,28
112,27
112,21
112,22
112,24
113,11
113,17
113,18
113,20
113,13
114,17
114,19
114,14
114,18
115,18
115,11
115,17
115,13
116,33
116,38
116,40
116,35
117,30
117,21
117,22
117,26
118,23
118,21
118,25
118,24
119,16
119,20
119,17
119,13
120,35
120,32
120,38
120,31
121,36
122,11
123,34
123,31
124,33
124,38
125,34
125,38
125,35
125,37
125,33
126,2
126,3
126,5
126,1
126,8
127,10
127,7
127,9
128,42
128,44
129,10
129,2
129,1
130,16
130,12
130,20
130,11
131,42
131,47
131,46
131,48
132,43
132,47
132,50
132,46
133,30
133,29
133,28
134,25
134,26
134,24
134,27
134,21
135,14
135,18
135,17
135,13
136,3
136,8
136,4
137,16
137,15
137,19
138,24
138,22
138,30
138,26
138,28
139,28
139,30
140,22
141,14
141,15
141,16
141,20
142,27
142,29
142,26
143,15
143,20
143,19
143,12
144,6
144,2
145,34
145,40
146,40
146,39
146,35
147,45
147,44
148,11
148,19
148,13
149,19
150,18
150,12
151,45
151,48
151,49
151,44
151,43
152,5
153,42
153,50
153,47
153,44
154,3
155,5
155,2
155,4
